,period,seriesId,seriesDescription,stateId,stateDescription,value,unit
0,2021,BMTCB,Biomass total consumption,CT,Connecticut,36473,Billion Btu
1,2021,BFPRB,Biofuels production,MA,Massachusetts,104,Billion Btu
2,2021,BFPRB,Biofuels production,SD,South Dakota,176272,Billion Btu
3,2021,BFPRB,Biofuels production,KY,Kentucky,11591,Billion Btu
4,2021,WWPRB,Wood and waste energy production,WA,Washington,107154,Billion Btu
5,2021,WWPRB,Wood and waste energy production,IN,Indiana,36584,Billion Btu
6,2021,WWPRB,Wood and waste energy production,WV,West Virginia,11617,Billion Btu
7,2021,BFPRB,Biofuels production,DE,Delaware,0,Billion Btu
8,2021,BFPRB,Biofuels production,TN,Tennessee,27943,Billion Btu
9,2021,WWPRB,Wood and waste energy production,VA,Virginia,116610,Billion Btu
10,2021,WWPRB,Wood and waste energy production,CO,Colorado,15268,Billion Btu
11,2021,WWPRB,Wood and waste energy production,OK,Oklahoma,34608,Billion Btu
12,2021,WWPRB,Wood and waste energy production,MD,Maryland,12851,Billion Btu
13,2021,BFPRB,Biofuels production,IA,Iowa,597174,Billion Btu
14,2021,BFPRB,Biofuels production,MS,Mississippi,2326,Billion Btu
15,2021,BFPRB,Biofuels production,RI,Rhode Island,661,Billion Btu
16,2021,BFPRB,Biofuels production,SC,South Carolina,0,Billion Btu
17,2021,BFPRB,Biofuels production,MD,Maryland,0,Billion Btu
18,2021,WWPRB,Wood and waste energy production,WI,Wisconsin,86542,Billion Btu
19,2021,WWPRB,Wood and waste energy production,MA,Massachusetts,30782,Billion Btu
20,2021,WWPRB,Wood and waste energy production,CT,Connecticut,23442,Billion Btu
21,2021,WWPRB,Wood and waste energy production,NJ,New Jersey,15518,Billion Btu
22,2021,BFPRB,Biofuels production,NC,North Carolina,173,Billion Btu
23,2021,BFPRB,Biofuels production,MN,Minnesota,182763,Billion Btu
24,2021,WWPRB,Wood and waste energy production,TN,Tennessee,58833,Billion Btu
25,2021,WWPRB,Wood and waste energy production,SC,South Carolina,107256,Billion Btu
26,2021,BFPRB,Biofuels production,LA,Louisiana,51353,Billion Btu
27,2021,BFPRB,Biofuels production,OH,Ohio,87348,Billion Btu
28,2021,WWPRB,Wood and waste energy production,IL,Illinois,16989,Billion Btu
29,2021,BFPRB,Biofuels production,AL,Alabama,1615,Billion Btu
