,period,seriesId,seriesDescription,stateId,stateDescription,value,unit
0,2021,TEICD,Total energy average price in the industrial sector,AK,Alaska,19.35,Dollars per million Btu
1,2021,TETCD,Total energy average price,AK,Alaska,20.42,Dollars per million Btu
2,2021,TECCD,Total energy average price in the commercial sector,AK,Alaska,21.32,Dollars per million Btu
3,2021,TEACD,Total energy average price in the transportation sector,AK,Alaska,19.89,Dollars per million Btu
4,2021,TETXD,Total end-use energy average price,AK,Alaska,20.42,Dollars per million Btu
5,2021,TERCD,Total energy average price in the residential sector,AK,Alaska,23.16,Dollars per million Btu
6,2021,TECCD,Total energy average price in the commercial sector,AL,Alabama,27.58,Dollars per million Btu
7,2021,TEACD,Total energy average price in the transportation sector,AL,Alabama,22.21,Dollars per million Btu
8,2021,TERCD,Total energy average price in the residential sector,AL,Alabama,32.33,Dollars per million Btu
9,2021,TETXD,Total end-use energy average price,AL,Alabama,17.84,Dollars per million Btu
10,2021,TEICD,Total energy average price in the industrial sector,AL,Alabama,8.12,Dollars per million Btu
11,2021,TETCD,Total energy average price,AL,Alabama,17.84,Dollars per million Btu
12,2021,TEICD,Total energy average price in the industrial sector,AR,Arkansas,11.6,Dollars per million Btu
13,2021,TECCD,Total energy average price in the commercial sector,AR,Arkansas,16.51,Dollars per million Btu
14,2021,TEACD,Total energy average price in the transportation sector,AR,Arkansas,22.5,Dollars per million Btu
15,2021,TETXD,Total end-use energy average price,AR,Arkansas,18.43,Dollars per million Btu
16,2021,TETCD,Total energy average price,AR,Arkansas,18.43,Dollars per million Btu
17,2021,TERCD,Total energy average price in the residential sector,AR,Arkansas,25.54,Dollars per million Btu
18,2021,TEICD,Total energy average price in the industrial sector,AZ,Arizona,16.97,Dollars per million Btu
19,2021,TERCD,Total energy average price in the residential sector,AZ,Arizona,31.21,Dollars per million Btu
20,2021,TEACD,Total energy average price in the transportation sector,AZ,Arizona,25.26,Dollars per million Btu
21,2021,TETXD,Total end-use energy average price,AZ,Arizona,25.06,Dollars per million Btu
22,2021,TETCD,Total energy average price,AZ,Arizona,25.06,Dollars per million Btu
23,2021,TECCD,Total energy average price in the commercial sector,AZ,Arizona,24.66,Dollars per million Btu
24,2021,TEACD,Total energy average price in the transportation sector,CA,California,28.26,Dollars per million Btu
25,2021,TECCD,Total energy average price in the commercial sector,CA,California,36.48,Dollars per million Btu
26,2021,TETXD,Total end-use energy average price,CA,California,28.43,Dollars per million Btu
27,2021,TETCD,Total energy average price,CA,California,28.43,Dollars per million Btu
28,2021,TEICD,Total energy average price in the industrial sector,CA,California,17.19,Dollars per million Btu
29,2021,TERCD,Total energy average price in the residential sector,CA,California,35.69,Dollars per million Btu
30,2021,TERCD,Total energy average price in the residential sector,CO,Colorado,18.56,Dollars per million Btu
31,2021,TETXD,Total end-use energy average price,CO,Colorado,20.61,Dollars per million Btu
32,2021,TETCD,Total energy average price,CO,Colorado,20.61,Dollars per million Btu
33,2021,TECCD,Total energy average price in the commercial sector,CO,Colorado,20.52,Dollars per million Btu
34,2021,TEACD,Total energy average price in the transportation sector,CO,Colorado,24.36,Dollars per million Btu
35,2021,TEICD,Total energy average price in the industrial sector,CO,Colorado,15.14,Dollars per million Btu
36,2021,TECCD,Total energy average price in the commercial sector,CT,Connecticut,25.08,Dollars per million Btu
37,2021,TEICD,Total energy average price in the industrial sector,CT,Connecticut,15.59,Dollars per million Btu
38,2021,TERCD,Total energy average price in the residential sector,CT,Connecticut,30.81,Dollars per million Btu
39,2021,TEACD,Total energy average price in the transportation sector,CT,Connecticut,24.76,Dollars per million Btu
40,2021,TETXD,Total end-use energy average price,CT,Connecticut,25.85,Dollars per million Btu
41,2021,TETCD,Total energy average price,CT,Connecticut,25.85,Dollars per million Btu
42,2021,TERCD,Total energy average price in the residential sector,DC,District of Columbia,24.08,Dollars per million Btu
43,2021,TETCD,Total energy average price,DC,District of Columbia,25.68,Dollars per million Btu
44,2021,TEACD,Total energy average price in the transportation sector,DC,District of Columbia,26.1,Dollars per million Btu
45,2021,TECCD,Total energy average price in the commercial sector,DC,District of Columbia,27.35,Dollars per million Btu
46,2021,TETXD,Total end-use energy average price,DC,District of Columbia,25.68,Dollars per million Btu
47,2021,TEICD,Total energy average price in the industrial sector,DC,District of Columbia,16.33,Dollars per million Btu
48,2021,TECCD,Total energy average price in the commercial sector,DE,Delaware,18.74,Dollars per million Btu
49,2021,TEACD,Total energy average price in the transportation sector,DE,Delaware,23.47,Dollars per million Btu
50,2021,TEICD,Total energy average price in the industrial sector,DE,Delaware,14.36,Dollars per million Btu
51,2021,TETCD,Total energy average price,DE,Delaware,21.48,Dollars per million Btu
52,2021,TETXD,Total end-use energy average price,DE,Delaware,21.48,Dollars per million Btu
53,2021,TERCD,Total energy average price in the residential sector,DE,Delaware,26.58,Dollars per million Btu
54,2021,TECCD,Total energy average price in the commercial sector,FL,Florida,24.54,Dollars per million Btu
55,2021,TERCD,Total energy average price in the residential sector,FL,Florida,34.41,Dollars per million Btu
56,2021,TETXD,Total end-use energy average price,FL,Florida,22.52,Dollars per million Btu
57,2021,TEICD,Total energy average price in the industrial sector,FL,Florida,11.12,Dollars per million Btu
58,2021,TETCD,Total energy average price,FL,Florida,22.52,Dollars per million Btu
59,2021,TEACD,Total energy average price in the transportation sector,FL,Florida,21.32,Dollars per million Btu
60,2021,TETXD,Total end-use energy average price,GA,Georgia,19.77,Dollars per million Btu
61,2021,TEACD,Total energy average price in the transportation sector,GA,Georgia,21.43,Dollars per million Btu
62,2021,TEICD,Total energy average price in the industrial sector,GA,Georgia,9.4,Dollars per million Btu
63,2021,TERCD,Total energy average price in the residential sector,GA,Georgia,28.31,Dollars per million Btu
