,Year,State,TotalEnergyPriceTransportation,TotalEnergyPriceCommercial,TotalEnergyPriceIndustrial,TotalEnergyPriceResidential,TotalEnergyPrice,TotalEndUseEnergyPrice,Unit
0,1991,AK,6.71,8.0,2.55,10.58,6.31,6.31,Dollars per million Btu
1,1991,AL,8.04,13.26,4.45,13.91,7.49,7.49,Dollars per million Btu
2,1991,AR,8.49,11.56,5.05,13.58,8.33,8.33,Dollars per million Btu
3,1991,AZ,8.02,16.59,8.11,18.54,10.94,10.94,Dollars per million Btu
4,1991,CA,7.05,15.85,7.21,13.38,9.14,9.14,Dollars per million Btu
5,1991,CO,8.61,9.16,5.09,8.45,7.98,7.98,Dollars per million Btu
6,1991,CT,9.72,15.01,9.21,13.24,11.6,11.6,Dollars per million Btu
7,1991,DC,9.86,11.44,15.58,9.89,11.13,11.13,Dollars per million Btu
8,1991,DE,7.82,12.72,6.24,13.62,8.94,8.94,Dollars per million Btu
9,1991,FL,7.67,15.05,5.09,21.23,10.23,10.23,Dollars per million Btu
10,1991,GA,7.41,14.67,4.99,13.89,8.23,8.23,Dollars per million Btu
11,1991,HI,7.39,20.24,10.84,29.89,9.81,9.81,Dollars per million Btu
12,1991,IA,9.02,8.58,4.54,9.82,7.46,7.46,Dollars per million Btu
13,1991,ID,8.93,8.95,4.42,10.59,7.36,7.36,Dollars per million Btu
14,1991,IL,8.91,11.58,6.2,9.57,8.64,8.64,Dollars per million Btu
15,1991,IN,7.81,9.54,4.42,10.06,6.77,6.77,Dollars per million Btu
16,1991,KS,8.4,9.06,4.74,9.83,7.42,7.42,Dollars per million Btu
17,1991,KY,8.34,9.5,5.57,10.22,7.71,7.71,Dollars per million Btu
18,1991,LA,6.53,14.49,3.94,14.38,5.58,5.58,Dollars per million Btu
19,1991,MA,9.3,12.27,9.68,11.81,10.67,10.67,Dollars per million Btu
20,1991,MD,9.23,11.34,6.98,13.13,9.69,9.69,Dollars per million Btu
21,1991,ME,9.02,9.77,4.43,12.68,7.96,7.96,Dollars per million Btu
22,1991,MI,8.2,10.14,6.77,8.66,8.15,8.15,Dollars per million Btu
23,1991,MN,8.93,7.29,6.21,8.88,7.9,7.9,Dollars per million Btu
24,1991,MO,7.98,11.02,6.43,11.12,8.79,8.79,Dollars per million Btu
25,1991,MS,7.43,13.11,4.57,13.55,7.5,7.5,Dollars per million Btu
26,1991,MT,9.06,8.55,4.89,9.0,7.47,7.47,Dollars per million Btu
27,1991,NC,8.9,13.57,6.27,16.35,9.81,9.81,Dollars per million Btu
28,1991,ND,9.07,8.72,2.7,9.75,5.84,5.84,Dollars per million Btu
29,1991,NE,9.1,8.58,5.81,9.07,8.18,8.18,Dollars per million Btu
30,1991,NH,9.26,11.72,10.71,12.52,10.76,10.76,Dollars per million Btu
31,1991,NJ,7.13,12.73,8.74,12.21,9.35,9.35,Dollars per million Btu
32,1991,NM,8.52,11.52,6.75,11.06,8.9,8.9,Dollars per million Btu
33,1991,NV,7.87,10.37,7.98,11.12,8.75,8.75,Dollars per million Btu
34,1991,NY,9.27,12.92,7.44,12.74,10.75,10.75,Dollars per million Btu
35,1991,OH,8.87,11.44,5.91,10.23,8.42,8.42,Dollars per million Btu
36,1991,OK,7.96,10.63,3.76,11.19,7.26,7.26,Dollars per million Btu
37,1991,OR,8.06,10.05,5.13,10.76,7.87,7.87,Dollars per million Btu
38,1991,PA,8.74,11.82,5.98,12.09,8.89,8.89,Dollars per million Btu
39,1991,RI,9.75,13.28,7.78,11.74,10.39,10.39,Dollars per million Btu
40,1991,SC,8.15,13.75,5.32,15.97,8.46,8.46,Dollars per million Btu
41,1991,SD,8.87,9.25,5.85,10.2,8.41,8.41,Dollars per million Btu
42,1991,TN,8.63,10.34,5.88,12.03,8.28,8.28,Dollars per million Btu
43,1991,TX,7.32,12.09,4.14,14.46,6.35,6.35,Dollars per million Btu
44,1991,US,8.04,12.05,5.25,12.08,8.25,8.25,Dollars per million Btu
45,1991,UT,8.02,8.97,4.28,8.36,6.97,6.97,Dollars per million Btu
46,1991,VA,8.12,12.08,4.25,14.11,8.53,8.53,Dollars per million Btu
47,1991,VT,9.43,13.55,9.2,12.59,10.87,10.87,Dollars per million Btu
48,1991,WA,7.61,8.53,4.4,9.81,7.11,7.11,Dollars per million Btu
49,1991,WI,9.05,9.08,5.11,9.46,7.89,7.89,Dollars per million Btu
50,1991,WV,9.58,9.45,4.03,10.62,7.09,7.09,Dollars per million Btu
51,1991,WY,8.33,8.11,4.29,8.65,6.26,6.26,Dollars per million Btu
52,1992,AK,6.91,7.75,2.5,9.86,6.23,6.23,Dollars per million Btu
53,1992,AL,8.04,12.99,4.26,13.46,7.24,7.24,Dollars per million Btu
54,1992,AR,8.47,11.76,4.96,13.72,8.12,8.12,Dollars per million Btu
55,1992,AZ,8.48,17.35,8.32,19.77,11.46,11.46,Dollars per million Btu
56,1992,CA,7.75,16.67,7.18,13.88,9.63,9.63,Dollars per million Btu
57,1992,CO,8.75,9.34,5.03,8.71,8.07,8.07,Dollars per million Btu
58,1992,CT,9.74,14.61,9.22,12.48,11.4,11.4,Dollars per million Btu
59,1992,DC,10.2,11.76,16.18,9.98,11.41,11.41,Dollars per million Btu
60,1992,DE,7.9,12.65,5.12,13.07,8.41,8.41,Dollars per million Btu
61,1992,FL,7.48,14.67,4.8,20.8,9.9,9.9,Dollars per million Btu
62,1992,GA,7.08,14.6,5.03,13.57,8.12,8.12,Dollars per million Btu
63,1992,HI,7.06,15.33,11.23,29.93,9.62,9.62,Dollars per million Btu
64,1992,IA,8.68,9.09,5.04,10.24,7.6,7.6,Dollars per million Btu
65,1992,ID,9.17,9.37,4.44,10.65,7.52,7.52,Dollars per million Btu
66,1992,IL,8.59,11.47,6.23,9.47,8.51,8.51,Dollars per million Btu
67,1992,IN,7.55,9.38,4.38,9.89,6.64,6.64,Dollars per million Btu
68,1992,KS,8.11,9.59,5.55,10.02,7.62,7.62,Dollars per million Btu
69,1992,KY,8.05,9.13,5.35,10.01,7.42,7.42,Dollars per million Btu
70,1992,LA,6.04,14.53,3.59,14.36,5.2,5.2,Dollars per million Btu
71,1992,MA,9.17,12.26,8.8,11.09,10.29,10.29,Dollars per million Btu
72,1992,MD,9.32,10.87,7.65,12.82,9.89,9.89,Dollars per million Btu
73,1992,ME,9.03,11.04,4.25,12.63,7.8,7.8,Dollars per million Btu
74,1992,MI,7.98,10.01,6.73,8.34,7.97,7.97,Dollars per million Btu
75,1992,MN,8.65,7.62,6.08,9.08,7.83,7.83,Dollars per million Btu
76,1992,MO,7.8,11.1,6.21,10.85,8.56,8.56,Dollars per million Btu
77,1992,MS,7.22,13.0,4.52,13.33,7.37,7.37,Dollars per million Btu
78,1992,MT,9.18,9.24,5.01,9.28,7.75,7.75,Dollars per million Btu
79,1992,NC,8.61,13.65,5.98,16.08,9.51,9.51,Dollars per million Btu
80,1992,ND,8.69,8.92,2.46,9.94,5.49,5.49,Dollars per million Btu
81,1992,NE,8.78,9.05,5.78,9.3,8.17,8.17,Dollars per million Btu
82,1992,NH,9.24,13.0,9.66,12.79,10.81,10.81,Dollars per million Btu
83,1992,NJ,7.0,12.6,7.49,11.61,8.94,8.94,Dollars per million Btu
84,1992,NM,8.66,10.86,6.34,10.55,8.75,8.75,Dollars per million Btu
